host,jbossServer,filename,configFileLocationOnServer,privateKeyLocation,privateCertLocation,result
sc1,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.crt,true
sc1,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.crt,true
sc2,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.crt,true
sc2,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.crt,true
sc1,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.fakecompany.com.crt,false
sc2,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.fakecompany.com.crt,false
sc1,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.fakeissuer.crt,false
sc1,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.fakeissuercrt,false
sc2,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER123.fakeissuer.crt,false
sc2,:8443/autobind/,SERIALNUMBER123.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.fakeissuer.crt,false
sc1,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.ericsson.com.crt,true
sc1,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.ericsson.com.crt,true
sc2,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.ericsson.com.crt,true
sc2,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.ericsson.com.crt,true
sc1,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.crt,true
sc2,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.crt,true
sc1,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.crt,true
sc2,:8443/autobind/,SERIALNUMBER124.ericsson.com,/ericsson/tor/data/autointegration/files/,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_key.priv,/ericsson/tor/data/autointegration/files/tmp/aiweb_taf_SERIALNUMBER124.crt,true
